image_id,a,b,c,d,true_label,extra_info,just_label,unicode
S01_001,3591,350,154,106,아재비_숙_叔,,叔,U+53D4
S01_001,1598,1132,162,142,아재비_숙_叔,,叔,U+53D4
S01_001,3619,462,116,83,주인_주_主,,主,U+4E3B
S01_001,3601,551,158,97,앞_전_前,,前,U+524D
S01_001,2169,1558,103,127,앞_전_前,,前,U+524D
S01_001,69,598,150,148,앞_전_前,,前,U+524D
S01_001,3619,698,122,104,삼갈_근_謹,,謹,U+8B39
S01_001,3530,1953,100,119,삼갈_근_謹,,謹,U+8B39
S01_001,3619,805,122,89,두_재_再,,再,U+518D
S01_001,1651,591,122,124,두_재_再,,再,U+518D
S01_001,3615,901,126,106,절_배_拜,,拜,U+62DC
S01_001,410,1927,89,136,절_배_拜,,拜,U+62DC
S01_001,3613,1040,104,72,위_상_上,,上,U+4E0A
S01_001,3072,433,138,119,위_상_上,,上,U+4E0A
S01_001,434,727,121,113,위_상_上,,上,U+4E0A
S01_001,54,1357,161,175,위_상_上,,上,U+4E0A
S01_001,3601,1116,150,90,물을_후_候,,候,U+5019
S01_001,3061,571,167,186,물을_후_候,,候,U+5019
S01_001,575,1440,165,169,물을_후_候,,候,U+5019
S01_001,405,849,177,203,물을_후_候,,候,U+5019
S01_001,37,1558,193,213,물을_후_候,,候,U+5019
S01_001,3611,1210,126,126,쓸_서_書,,書,U+66F8
S01_001,2138,1692,118,146,쓸_서_書,,書,U+66F8
S01_001,1610,1280,133,179,쓸_서_書,,書,U+66F8
S01_001,3344,363,155,147,쇠_금_金,,金,U+F90A
S01_001,3328,658,165,97,날_생_生,,生,U+751F
S01_001,3361,754,109,122,수효_원_員,,員,U+54E1
S01_001,3344,1004,130,99,아래_하_下,,下,U+4E0B
S01_001,3346,1109,134,102,잡을_집_執,,執,U+57F7
S01_001,3348,1210,139,152,일_사_事,,事,U+4E8B
S01_001,767,1137,135,322,일_사_事,,事,U+4E8B
S01_001,3540,2076,94,92,봉할_봉_封,,封,U+5C01
S01_001,3059,234,185,173,쫓을_추_追,,追,U+8FFD
S01_001,2848,232,176,177,해_세_歲,,歲,U+6B72
S01_001,2847,415,179,164,뒤_후_後,,後,U+5F8C
S01_001,2838,587,188,166,좇을_진_趂,,趂,U+8D82
