image_id,a,b,c,d,true_label,extra_info,just_label,unicode
S05_001,3872,968,143,141,굳을_고_固,,固,U+56FA
S05_001,2899,1323,96,99,굳을_고_固,,固,U+56FA
S05_001,1899,2114,92,103,굳을_고_固,,固,U+56FA
S05_001,3890,1112,107,127,생각할_려_慮,,慮,U+616E
S05_001,3698,1681,111,112,생각할_려_慮,,慮,U+616E
S05_001,3042,2144,110,110,생각할_려_慮,,慮,U+616E
S05_001,1884,2469,111,111,생각할_려_慮,,慮,U+616E
S05_001,1734,2305,93,103,생각할_려_慮,,慮,U+616E
S05_001,3905,1239,71,112,있을_유_有,,有,U+6709
S05_001,2720,2361,77,113,있을_유_有,,有,U+6709
S05_001,3871,1352,118,128,갈_행_行,,行,U+884C
S05_001,3695,2392,106,117,갈_행_行,,行,U+884C
S05_001,3857,1484,139,153,자두나무_리_李,,李,U+674E
S05_001,3882,1640,113,103,갈_지_之,,之,U+4E4B
S05_001,3540,1438,101,71,갈_지_之,,之,U+4E4B
S05_001,3219,1072,90,69,갈_지_之,,之,U+4E4B
S05_001,3225,1854,78,78,갈_지_之,,之,U+4E4B
S05_001,3216,2292,95,72,갈_지_之,,之,U+4E4B
S05_001,2900,1137,89,68,갈_지_之,,之,U+4E4B
S05_001,2427,2536,92,87,갈_지_之,,之,U+4E4B
S05_001,1717,2815,125,87,갈_지_之,,之,U+4E4B
S05_001,906,1224,97,70,갈_지_之,,之,U+4E4B
S05_001,3858,1752,122,137,일할_로_勞,,勞,U+52DE
S05_001,3874,1885,98,99,곧_즉_卽,,卽,U+537D
S05_001,3853,1982,120,211,들을_문_聞,,聞,U+805E
S05_001,1721,2722,110,86,들을_문_聞,,聞,U+805E
S05_001,3716,976,93,134,무거울_중_重,,重,U+91CD
S05_001,3699,1115,116,120,쓸_고_苦,,苦,U+82E6
S05_001,1893,1573,105,102,쓸_고_苦,,苦,U+82E6
S05_001,3704,1236,120,126,배_복_腹,,腹,U+8179
S05_001,3707,1376,125,125,샐_설_泄,,泄,U+6CC4
S05_001,3710,1500,112,171,놀랄_경_驚,,驚,U+9A5A
S05_001,3693,1803,121,133,곱_배_倍,,倍,U+500D
S05_001,3693,1944,120,107,일백_백_百,,百,U+767E
S05_001,3686,2060,131,85,같을_사_似,,似,U+4F3C
S05_001,3699,2151,131,104,옳을_시_是,,是,U+662F
S05_001,1898,1789,113,96,옳을_시_是,,是,U+662F
S05_001,1718,1442,117,105,옳을_시_是,,是,U+662F
S05_001,3682,2261,186,120,바퀴_륜_輪,,輪,U+8F2A
S05_001,3687,2506,124,101,때_시_時,,時,U+6642
S05_001,1882,2792,127,104,때_시_時,,時,U+6642
S05_001,3696,2607,122,141,기운_기_氣,,氣,U+6C23
S05_001,1737,975,97,151,기운_기_氣,,氣,U+6C23
S05_001,1756,1673,94,130,기운_기_氣,,氣,U+6C23
S05_001,3699,2762,121,143,모름지기_수_須,,須,U+9808
S05_001,3381,1920,105,115,모름지기_수_須,,須,U+9808
S05_001,3222,2042,90,117,모름지기_수_須,,須,U+9808
S05_001,1533,2761,135,128,모름지기_수_須,,須,U+9808
S05_001,3539,996,99,131,많을_다_多,,多,U+591A
S05_001,3558,1130,77,87,쓸_용_用,,用,U+7528
S05_001,3544,2402,84,103,쓸_용_用,,用,U+7528
S05_001,3384,1302,84,94,쓸_용_用,,用,U+7528
S05_001,3382,2154,85,104,쓸_용_用,,用,U+7528
S05_001,3226,1519,66,98,쓸_용_用,,用,U+7528
S05_001,1747,2197,74,102,쓸_용_用,,用,U+7528
S05_001,3525,1234,112,80,화할_화_和,,和,U+548C
S05_001,3510,2174,146,107,화할_화_和,,和,U+548C
S05_001,3186,979,125,95,화할_화_和,,和,U+548C
S05_001,3541,1322,90,102,풀_해_解,,解,U+89E3
S05_001,3522,1528,119,136,벨_제_劑,,劑,U+5291
S05_001,3543,1664,116,107,하여금_사_使,,使,U+4F7F
S05_001,3533,1783,133,139,오장_장_臟,,臟,U+81DF
S05_001,3537,1925,116,108,장부_부_腑,,腑,U+8151
S05_001,3522,2040,119,127,평평할_평_平,,平,U+5E73
S05_001,3345,2842,126,108,평평할_평_平,,平,U+5E73
S05_001,1056,1554,106,173,평평할_평_平,,平,U+5E73
S05_001,3543,2280,108,118,혹_혹_或,,或,U+6216
S05_001,2738,1985,97,115,혹_혹_或,,或,U+6216
S05_001,2579,1862,89,96,혹_혹_或,,或,U+6216
S05_001,1903,1678,101,100,혹_혹_或,,或,U+6216
S05_001,3527,2513,120,93,노래할_구_嘔,,嘔,U+5614
S05_001,3525,2612,136,89,토할_토_吐,,吐,U+5410
