image_id,a,b,c,d,true_label,extra_info,just_label,unicode
S03_001,1952,524,97,115,물을_문_問,,問,U+554F
S03_001,1963,628,72,118,눈_목_目,,目,U+76EE
S03_001,1705,431,115,109,큰_대_大,,大,U+5927
S03_001,332,1503,99,91,큰_대_大,,大,U+5927
S03_001,1708,534,122,84,이을_윤_胤,,胤,U+80E4
S03_001,347,1590,96,110,이을_윤_胤,,胤,U+80E4
S03_001,1709,606,115,117,갈_지_之,,之,U+4E4B
S03_001,1510,2335,86,71,갈_지_之,,之,U+4E4B
S03_001,1017,1848,83,86,갈_지_之,,之,U+4E4B
S03_001,1719,705,122,104,먼저_선_先,,先,U+5148
S03_001,2422,1217,53,65,먼저_선_先,,先,U+5148
S03_001,1719,811,132,95,친할_친_親,,親,U+89AA
S03_001,1726,899,120,109,밖_외_外,,外,U+5916
S03_001,1774,2334,102,88,밖_외_外,,外,U+5916
S03_001,1269,1564,116,96,밖_외_外,,外,U+5916
S03_001,1734,1004,101,93,조상_조_祖,,祖,U+7956
S03_001,1748,1492,98,84,조상_조_祖,,祖,U+7956
S03_001,1258,1661,113,87,조상_조_祖,,祖,U+7956
S03_001,1742,1099,82,97,상고할_고_考,,考,U+8003
S03_001,1737,1201,117,73,죽은 어미_비_妣,,妣,U+59A3
S03_001,1731,1265,118,92,각각_각_各,,各,U+5404
S03_001,1739,1362,104,125,장사지낼_장_葬,,葬,U+846C
S03_001,1745,1566,95,129,무덤_분_墳,,墳,U+58B3
S03_001,1264,1851,96,93,무덤_분_墳,,墳,U+58B3
S03_001,1751,1694,95,100,있을_재_在,,在,U+5728
S03_001,1740,1796,124,95,멀_원_遠,,遠,U+9060
S03_001,1493,1620,93,97,멀_원_遠,,遠,U+9060
S03_001,1743,1893,120,92,말 이을_이_而,,而,U+800C
S03_001,1263,1103,94,73,말 이을_이_而,,而,U+800C
S03_001,766,1310,112,81,말 이을_이_而,,而,U+800C
S03_001,1751,1971,104,114,없을_무_無,,無,U+7121
S03_001,1747,2090,109,103,곧을_직_直,,直,U+76F4
S03_001,1758,2183,95,94,손자_손_孫,,孫,U+5B6B
S03_001,1492,999,101,88,손자_손_孫,,孫,U+5B6B
S03_001,1762,2273,93,69,써_이_以,,以,U+4EE5
S03_001,1235,537,101,70,써_이_以,,以,U+4EE5
S03_001,1023,2140,102,77,써_이_以,,以,U+4EE5
S03_001,771,1581,108,73,써_이_以,,以,U+4EE5
S03_001,1757,2414,109,120,후손_예_裔,,裔,U+88D4
S03_001,1754,2535,122,113,받들_봉_奉,,奉,U+5949
S03_001,1472,431,113,102,제사_사_祀,,祀,U+7940
S03_001,1470,531,102,76,대_세_世,,世,U+4E16
S03_001,1481,602,106,106,대신할_대_代,,代,U+4EE3
S03_001,1485,705,95,107,점점_점_漸,,漸,U+6F38
S03_001,1479,806,116,93,내릴_강_降,,降,U+964D
S03_001,1490,900,108,105,해칠_잔_殘,,殘,U+6B98
S03_001,1484,1091,128,107,정성_성_誠,,誠,U+8AA0
S03_001,1492,1191,103,126,엷을_박_薄,,薄,U+8584
S03_001,1492,1317,104,101,길_도_道,,道,U+9053
S03_001,1491,1413,97,95,또_차_且,,且,U+4E14
S03_001,1493,1505,93,115,왼_좌_左,,左,U+5DE6
S03_001,1488,1721,99,102,이를_지_至,,至,U+81F3
S03_001,1486,1822,98,90,어조사_어_於,,於,U+65BC
S03_001,1262,1482,99,87,어조사_어_於,,於,U+65BC
S03_001,763,833,97,99,어조사_어_於,,於,U+65BC
